run,rewards,policy
0,523.0371530882331,"{'0': [0.2, 1.0], '1': [0.5, 0.2], '2': [0.9, 0.0], '3': [0.7, 1.0], '4': [0.1, 0.4]}"
1,353.33697859855977,"{'0': [0.2, 1.0], '1': [0.1, 0.5], '2': [0.0, 0.6], '3': [0.6, 0.7], '4': [0.3, 0.7]}"
2,519.6459240610959,"{'0': [0.2, 1.0], '1': [0.3, 0.5], '2': [0.9, 0.3], '3': [0.2, 0.6], '4': [0.1, 0.5]}"
3,476.7124063656718,"{'0': [0.2, 1.0], '1': [0.8, 0.7], '2': [0.0, 1.0], '3': [0.7, 0.3], '4': [0.1, 0.6]}"
4,341.98456570449656,"{'0': [0.2, 1.0], '1': [0.8, 0.4], '2': [0.4, 0.2], '3': [0.9, 0.4], '4': [0.8, 0.7]}"
5,363.16629703826794,"{'0': [0.2, 1.0], '1': [0.0, 0.2], '2': [0.2, 0.5], '3': [0.1, 0.8], '4': [0.3, 0.3]}"
6,370.5427089198086,"{'0': [0.2, 1.0], '1': [0.4, 0.8], '2': [0.7, 0.9], '3': [0.9, 0.7], '4': [0.3, 0.6]}"
7,480.2058327493005,"{'0': [0.2, 1.0], '1': [0.1, 0.0], '2': [0.0, 0.5], '3': [0.6, 1.0], '4': [0.2, 0.5]}"
8,364.94459930464154,"{'0': [0.2, 1.0], '1': [0.8, 0.3], '2': [0.8, 0.0], '3': [0.5, 0.3], '4': [0.5, 0.4]}"
9,372.89128607449226,"{'0': [0.2, 1.0], '1': [0.2, 0.0], '2': [0.6, 0.0], '3': [0.5, 0.3], '4': [0.5, 0.5]}"
