run,rewards,policy
0,347.8817244075675,"{'0': [0.2, 1.0], '1': [0.6, 1.0], '2': [0.0, 0.3], '3': [0.5, 0.4], '4': [0.0, 0.1]}"
1,463.78335566407304,"{'0': [0.2, 1.0], '1': [0.7, 0.5], '2': [0.1, 0.4], '3': [0.3, 0.3], '4': [0.2, 0.5]}"
2,504.07239346170275,"{'0': [0.2, 1.0], '1': [0.1, 0.0], '2': [0.2, 0.1], '3': [0.1, 0.0], '4': [0.2, 0.5]}"
3,366.3751834545448,"{'0': [0.2, 1.0], '1': [0.9, 1.0], '2': [0.2, 0.4], '3': [0.1, 0.5], '4': [0.0, 0.7]}"
4,415.00594367327534,"{'0': [0.2, 1.0], '1': [0.1, 0.6], '2': [0.3, 0.6], '3': [0.5, 0.4], '4': [0.0, 0.7]}"
5,348.9086461506732,"{'0': [0.2, 1.0], '1': [0.0, 0.2], '2': [0.5, 0.1], '3': [0.5, 0.1], '4': [0.0, 0.7]}"
6,449.5925053603888,"{'0': [0.2, 1.0], '1': [0.7, 0.3], '2': [0.9, 0.6], '3': [0.7, 0.4], '4': [0.2, 0.5]}"
7,447.5518669987388,"{'0': [0.2, 1.0], '1': [0.9, 0.9], '2': [0.0, 0.6], '3': [0.9, 0.6], '4': [0.2, 0.5]}"
8,441.6857839846007,"{'0': [0.2, 1.0], '1': [0.3, 0.7], '2': [0.3, 0.8], '3': [0.9, 0.5], '4': [0.2, 0.5]}"
9,337.53660745215853,"{'0': [0.2, 1.0], '1': [0.6, 0.4], '2': [0.3, 0.6], '3': [0.2, 0.5], '4': [0.6, 0.4]}"
