policy,rewards,run
"{'1': [0.0, 1.0], '2': [1.0, 1.0], '3': [0.5, 0.0], '4': [1.0, 0.1], '5': [0.2, 0.4]}",256.73411188874866,0
"{'1': [0.0, 1.0], '2': [0.5, 0.6], '3': [0.5, 0.6], '4': [0.3, 1.0], '5': [0.2, 0.7]}",133.08459382785142,1
"{'1': [0.0, 0.0], '2': [0.0, 0.3], '3': [0.1, 0.5], '4': [0.8, 0.8], '5': [0.0, 0.6]}",229.24320257523723,2
"{'1': [0.3, 1.0], '2': [0.9, 1.0], '3': [0.8, 0.0], '4': [1.0, 0.3], '5': [0.0, 0.5]}",449.46536795139343,3
"{'1': [0.3, 0.8], '2': [0.3, 0.4], '3': [0.6, 1.0], '4': [0.0, 0.5], '5': [0.1, 0.4]}",274.1611904264929,4
"{'1': [0.0, 1.0], '2': [0.7, 0.7], '3': [0.7, 0.2], '4': [0.7, 0.4], '5': [0.2, 0.5]}",289.3647225902884,5
"{'1': [0.3, 1.0], '2': [0.8, 0.9], '3': [0.9, 0.3], '4': [1.0, 0.7], '5': [0.0, 0.4]}",452.5356234314471,6
"{'1': [0.3, 1.0], '2': [0.8, 0.3], '3': [0.5, 0.7], '4': [0.4, 0.3], '5': [0.1, 0.4]}",467.1910567018477,7
"{'1': [0.6, 1.0], '2': [1.0, 0.6], '3': [0.5, 0.6], '4': [0.6, 1.0], '5': [0.1, 0.4]}",255.29972901739913,8
"{'1': [0.3, 1.0], '2': [0.0, 0.5], '3': [0.5, 0.5], '4': [0.6, 0.4], '5': [0.2, 0.4]}",254.80614739693993,9
