policy,rewards,run
"{'1': [0.2, 1.0], '2': [0.8, 0.2], '3': [0.6, 0.8], '4': [1.0, 0.6], '5': [0.0, 0.4]}",528.9723091710102,0
"{'1': [1.0, 0.6], '2': [1.0, 0.0], '3': [0.6, 0.8], '4': [1.0, 1.0], '5': [0.0, 0.4]}",252.11060626685983,1
"{'1': [0.4, 1.0], '2': [0.6, 0.4], '3': [0.6, 0.6], '4': [0.0, 0.6], '5': [0.0, 0.6]}",191.24828078212022,2
"{'1': [0.2, 1.0], '2': [0.6, 0.8], '3': [0.4, 0.4], '4': [0.6, 0.4], '5': [0.4, 0.2]}",358.65946114665695,3
"{'1': [0.4, 1.0], '2': [0.8, 0.4], '3': [0.6, 1.0], '4': [0.0, 0.2], '5': [0.0, 0.4]}",295.35810860735603,4
"{'1': [0.2, 1.0], '2': [0.2, 0.6], '3': [0.0, 0.6], '4': [0.2, 1.0], '5': [0.0, 0.4]}",514.6221734412788,5
"{'1': [0.6, 0.2], '2': [0.2, 0.4], '3': [0.2, 0.2], '4': [0.0, 0.8], '5': [0.0, 0.6]}",172.38891693059207,6
"{'1': [0.2, 1.0], '2': [1.0, 0.4], '3': [0.6, 0.0], '4': [0.8, 0.6], '5': [0.0, 0.4]}",516.6476290256828,7
"{'1': [0.2, 1.0], '2': [0.4, 0.0], '3': [0.0, 0.6], '4': [0.4, 1.0], '5': [0.4, 0.4]}",343.30018484253475,8
"{'1': [0.2, 1.0], '2': [0.2, 0.4], '3': [1.0, 0.8], '4': [0.4, 1.0], '5': [0.0, 0.6]}",438.0868434447703,9
