policy,rewards,run
"{'1': [0.2, 0.9], '2': [0.4, 0.3], '3': [0.1, 0.7], '4': [0.6, 1.0], '5': [0.6, 0.1]}",309.6794163857307,0
"{'1': [0.2, 0.9], '2': [0.7, 1.0], '3': [0.3, 0.3], '4': [0.9, 0.0], '5': [0.0, 0.2]}",391.5495832918912,1
"{'1': [0.2, 0.9], '2': [0.1, 0.3], '3': [0.6, 0.2], '4': [1.0, 0.1], '5': [0.6, 0.8]}",319.31817137292575,2
"{'1': [0.2, 0.9], '2': [0.3, 1.0], '3': [0.2, 0.6], '4': [0.8, 0.2], '5': [0.2, 0.5]}",438.63408615721266,3
"{'1': [0.2, 0.9], '2': [0.7, 0.5], '3': [0.6, 0.2], '4': [0.4, 0.3], '5': [0.2, 0.5]}",448.1395706798924,4
"{'1': [0.2, 0.9], '2': [0.0, 0.0], '3': [0.6, 0.2], '4': [0.6, 0.5], '5': [0.1, 0.3]}",494.44928640758013,5
"{'1': [0.2, 0.9], '2': [0.7, 0.3], '3': [0.3, 0.5], '4': [0.5, 0.1], '5': [0.1, 0.6]}",482.7620647218353,6
"{'1': [0.2, 0.9], '2': [0.0, 0.0], '3': [0.6, 0.1], '4': [0.9, 0.4], '5': [0.0, 0.5]}",557.9787953261414,7
"{'1': [0.2, 0.9], '2': [0.4, 0.8], '3': [0.5, 0.7], '4': [0.9, 0.9], '5': [0.0, 0.5]}",537.6923616421218,8
"{'1': [0.2, 0.9], '2': [0.9, 0.9], '3': [0.5, 0.7], '4': [0.8, 0.4], '5': [0.0, 0.5]}",539.6753819918051,9
