policy,rewards,run
"{'1': [0.0, 1.0], '2': [0.6, 0.8], '3': [0.6, 0.0], '4': [0.6, 0.0], '5': [0.0, 0.6]}",221.80662721913512,0
"{'1': [0.2, 0.4], '2': [0.8, 0.6], '3': [0.2, 0.2], '4': [0.4, 0.4], '5': [0.0, 0.6]}",180.55661763939105,1
"{'1': [0.2, 0.8], '2': [0.2, 0.4], '3': [0.6, 1.0], '4': [0.8, 0.2], '5': [0.0, 0.6]}",218.71917562194113,2
"{'1': [0.2, 1.0], '2': [0.2, 0.0], '3': [0.6, 0.2], '4': [0.8, 0.0], '5': [0.0, 0.4]}",544.9760207945035,3
"{'1': [0.2, 1.0], '2': [0.6, 0.2], '3': [0.6, 0.2], '4': [0.8, 0.2], '5': [0.0, 0.4]}",513.0479130360022,4
"{'1': [0.2, 1.0], '2': [1.0, 1.0], '3': [0.6, 0.0], '4': [0.8, 0.4], '5': [0.0, 0.4]}",498.0786252228894,5
"{'1': [0.2, 1.0], '2': [0.4, 1.0], '3': [0.8, 0.6], '4': [0.8, 0.0], '5': [0.0, 0.4]}",533.3698914376973,6
"{'1': [0.2, 1.0], '2': [0.6, 0.8], '3': [0.2, 1.0], '4': [0.0, 0.8], '5': [0.0, 0.4]}",534.1779237077444,7
"{'1': [0.2, 1.0], '2': [1.0, 1.0], '3': [1.0, 0.8], '4': [0.8, 0.4], '5': [0.0, 0.4]}",545.8955858276448,8
"{'1': [0.2, 1.0], '2': [0.4, 1.0], '3': [0.8, 0.6], '4': [1.0, 0.2], '5': [0.0, 0.4]}",544.3719450831112,9
