policy,rewards,run
"{'0': [0.2, 1.0], '1': [0.1, 0.0], '2': [0.4, 0.0], '3': [0.8, 0.1], '4': [0.2, 0.2]}",393.1657569239858,0
"{'0': [0.2, 1.0], '1': [0.7, 0.4], '2': [1.0, 0.3], '3': [0.5, 0.5], '4': [0.6, 0.2]}",,1
"{'0': [0.2, 1.0], '1': [1.0, 0.9], '2': [0.7, 0.8], '3': [1.0, 0.5], '4': [0.3, 0.4]}",361.37167682063404,2
"{'0': [0.2, 1.0], '1': [0.6, 1.0], '2': [0.8, 0.4], '3': [0.8, 0.9], '4': [0.2, 0.4]}",490.1934573600973,3
"{'0': [0.2, 1.0], '1': [1.0, 0.3], '2': [0.7, 0.2], '3': [0.1, 0.6], '4': [0.9, 0.0]}",311.3121120031067,4
"{'0': [0.2, 1.0], '1': [1.0, 0.2], '2': [0.2, 0.7], '3': [0.5, 0.3], '4': [1.0, 0.0]}",310.01233263374144,5
"{'0': [0.2, 1.0], '1': [0.8, 0.0], '2': [0.8, 0.7], '3': [0.1, 0.3], '4': [0.3, 0.4]}",389.25534141509064,6
"{'0': [0.2, 1.0], '1': [0.2, 0.5], '2': [0.9, 0.3], '3': [0.1, 0.9], '4': [0.2, 0.3]}",412.045822672434,7
"{'0': [0.2, 1.0], '1': [0.6, 0.0], '2': [0.0, 0.2], '3': [0.0, 0.9], '4': [0.9, 0.6]}",357.2977656683466,8
"{'0': [0.2, 1.0], '1': [0.7, 0.8], '2': [0.4, 0.0], '3': [1.0, 0.0], '4': [0.1, 0.5]}",519.9704651918303,9
