policy,rewards,run
"{'1': [0.1, 1.0], '2': [0.8, 0.0], '3': [0.5, 0.9], '4': [0.3, 0.9], '5': [0.5, 0.8]}",142.3976902532266,0
"{'1': [0.5, 0.9], '2': [0.9, 0.5], '3': [0.8, 0.9], '4': [0.4, 0.4], '5': [0.1, 0.0]}",,1
"{'1': [0.2, 1.0], '2': [0.5, 1.0], '3': [0.3, 0.6], '4': [0.9, 0.9], '5': [0.1, 0.4]}",523.0539996943103,2
"{'1': [0.2, 0.9], '2': [1.0, 0.3], '3': [0.6, 0.6], '4': [0.5, 0.4], '5': [0.2, 0.4]}",,3
"{'1': [0.2, 0.9], '2': [0.6, 0.0], '3': [0.3, 0.3], '4': [0.7, 0.2], '5': [0.8, 0.8]}",,4
"{'1': [0.2, 0.9], '2': [0.1, 1.0], '3': [0.0, 0.7], '4': [0.8, 0.0], '5': [0.1, 0.5]}",494.8216884005256,5
"{'1': [0.2, 1.0], '2': [0.8, 0.1], '3': [1.0, 0.3], '4': [0.8, 0.2], '5': [0.1, 0.4]}",509.55766058995,6
"{'1': [0.2, 0.9], '2': [0.6, 0.1], '3': [0.4, 0.9], '4': [1.0, 0.0], '5': [0.1, 0.4]}",487.2824152885225,7
"{'1': [0.2, 0.9], '2': [0.2, 1.0], '3': [1.0, 0.1], '4': [1.0, 1.0], '5': [0.1, 0.4]}",543.7675398334496,8
"{'1': [0.2, 0.9], '2': [0.0, 0.7], '3': [0.0, 0.6], '4': [1.0, 0.1], '5': [0.1, 0.4]}",530.3775848115486,9
